"Production Type","2019 [MW]"
"Biomass","1931"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","11952"
"Fossil Hard coal","3966"
"Fossil Oil","3271"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","5023"
"Hydro Run-of-river and poundage","10955"
"Hydro Water Reservoir","8279"
"Marine","240"
"Nuclear","63130"
"Other","108"
"Other renewable","n/e"
"Solar","8188"
"Waste","n/e"
"Wind Offshore","N/A"
"Wind Onshore","13610"
"Total Grand capacity","130653"
